Timestamp,Tick,BatteryVoltage
1781437339,0,12.57
1781437340,1,12.42
1781437341,2,12.33
1781437342,3,12.12
1781437343,4,12.00
1781437344,5,11.97
1781437345,6,11.82
1781437346,7,11.73
1781437347,8,11.55
1781437348,9,11.34
1781437349,10,11.31
1781437350,11,11.28
1781437351,12,11.16
1781437352,13,10.98
1781437353,14,10.95
1781437354,15,10.80
1781437355,16,10.77
1781437356,17,10.62
1781437357,18,10.59
1781437358,19,10.41
1781437359,20,10.41
1781437360,21,10.38
1781437361,22,10.38
1781437363,23,10.38
1781437364,24,10.23
1781437365,25,10.14
1781437366,26,10.05
1781437367,27,9.96
1781437368,28,9.93
1781437369,29,9.84
